Country or Area,Year,Quantity_solar,Quantity_wind
Canada,2013,1499.0,18092.0
Canada,2012,881.0,11310.0
Canada,2011,572.0,10187.0
Canada,2010,255.0,8724.0
Canada,2009,109.0,6641.0
Canada,2008,35.0,3788.0
Canada,2007,26.0,3007.0
Canada,2006,21.0,2473.0
Canada,2005,17.0,1567.0
Canada,2004,13.0,954.0
Canada,2003,23.0,826.0
Canada,2002,22.0,408.0
Canada,2001,19.0,337.0
Canada,2000,16.0,264.0
Canada,1999,13.0,164.0
Canada,1998,10.0,62.0
Canada,1997,7.0,62.0
Canada,1996,6.0,62.0
Canada,1995,4.0,59.0
Canada,1994,3.0,59.0
Canada,1993,3.0,59.0
Canada,1992,2.0,59.0
Chile,2020,7971.25,5602.3
Chile,2019,6418.554,4896.804
Chile,2018,5217.783,3587.895
Chile,2017,3914.706,3520.972
Chile,2016,2639.0,2449.0
Chile,2015,1261.0,2115.0
Chile,2014,480.0,1443.0
Chile,2013,8.0,554.0
Chile,2012,0.0,409.0
Chile,2011,0.0,338.0
China,2020,260857.0,466470.0
China,2019,224460.0,406030.0
China,2018,177517.0,365971.0
China,2017,106338.0,297230.0
China,2016,61586.0,237070.0
China,2015,38776.0,185766.0
China,2014,25134.0,159979.0
China,2013,5564.0,141197.0
Colombia,2020,200.796,10.117
Colombia,2019,136.984,63.324
Colombia,2018,11.0,43.437
Colombia,2017,5.0,3.071
Colombia,2013,8.0,58.0
Costa Rica,2020,75.693,1459.442
Costa Rica,2019,76.87,1796.344
Costa Rica,2018,59.7934,1798.875
Costa Rica,2017,39.9132,1287.679
Costa Rica,2016,30.2994,1147.291
Costa Rica,2015,2.53388888888889,1079.50805555556
Costa Rica,2014,2.465556,734.753332888889
Costa Rica,2013,2.443333,484.568888777778
Costa Rica,2012,1.296944,528.382222
Costa Rica,2011,0.479722,414.473888
Costa Rica,2010,0.258333,358.675
Costa Rica,2009,0.177777777777778,326.183333
Costa Rica,2008,0.177777777777778,198.175
Costa Rica,2007,0.177777777777778,241.061111
Costa Rica,2006,0.177777777777778,273.497222
Costa Rica,2005,0.172222222222222,203.611111
Costa Rica,1997,76.0,0.0
Costa Rica,1996,23.0,0.0
Costa Rica,1995,23.0,0.0
Croatia,2020,95.5,1720.7
Croatia,2019,83.1,1467.3
Croatia,2018,74.9,1335.4
Croatia,2017,78.7,1204.0
Croatia,2016,66.0,1014.0
Croatia,2015,57.0,796.0
Croatia,2014,35.0,730.0
Croatia,2013,11.0,517.0
Croatia,2012,2.0,329.0
Croatia,2011,0.0,201.0
Croatia,2010,0.0,139.0
Croatia,2009,0.0,54.0
Croatia,2008,0.0,40.0
Croatia,2007,0.0,35.0
Cuba,2021,196.1,68.9
Cuba,2020,192.992,67.808
Cuba,2019,185.5,65.0
Cuba,2018,124.3,43.5
Cuba,2017,60.2,21.1
Cuba,2016,39.1,21.0
Cuba,2015,29.1,21.0
Cuba,2014,18.1,19.1
Cuba,2013,3.0,22.6
Cuba,2012,1.0,20.7
Cuba,2011,2.0,17.8
Cuba,2010,0.0,11.7
Curaçao,2020,22.218,191.386
Curaçao,2019,20.03,208.0
Curaçao,2018,20.03,233.761
Curaçao,2017,20.03,169.089
Curaçao,2016,19.0,130.0
Curaçao,2015,17.0,124.0
Curaçao,2014,13.0,133.0
Curaçao,2013,5.0,120.0
Cyprus,2020,295.608,240.408
Cyprus,2019,218.267,238.565
Cyprus,2018,199.493,221.04
Cyprus,2017,172.013,211.448
Cyprus,2016,146.0,226.0
Cyprus,2015,126.0,221.0
Cyprus,2014,84.0,182.0
Cyprus,2013,47.0,231.0
Cyprus,2012,22.0,185.0
Cyprus,2011,12.0,114.0
Cyprus,2010,7.0,31.0
Cyprus,2009,4.0,0.0
Cyprus,2008,3.0,0.0
Cyprus,2007,2.0,0.0
Cyprus,2006,1.0,0.0
Cyprus,2005,1.0,0.0
Czechia,2020,2287.014,699.083
Czechia,2019,2311.574,700.014
Czechia,2018,2358.881,609.33
Czechia,2017,2193.367,591.038
Czechia,2016,2131.0,497.0
Czechia,2015,2264.0,573.0
Czechia,2014,2123.0,477.0
Czechia,2013,2033.0,481.0
Czechia,2012,2149.0,416.0
Czechia,2011,2182.0,397.0
Czechia,2010,616.0,335.0
Czechia,2009,89.0,288.0
Czechia,2008,13.0,245.0
Czechia,2007,2.0,125.0
Czechia,2006,1.0,49.0
Denmark,2020,1180.532,16330.215
Denmark,2019,963.269,16149.833
Denmark,2018,952.973,13901.955
Denmark,2017,751.485,14780.0
Denmark,2016,744.0,12782.0
Denmark,2015,604.0,14133.0
Denmark,2014,596.0,13079.0
Denmark,2013,518.0,11123.0
Denmark,2012,104.0,10270.0
Denmark,2011,15.0,9774.0
Denmark,2010,6.0,7809.0
Denmark,2009,4.0,6721.0
Denmark,2008,3.0,6928.0
Denmark,2007,2.0,7171.0
Denmark,2006,2.0,6108.0
Denmark,2005,2.0,6614.0
Denmark,2004,2.0,6583.0
Denmark,2003,2.0,5561.0
Denmark,2002,1.0,4877.0
Denmark,2001,1.0,4306.0
Denmark,2000,1.0,4241.0
Denmark,1999,1.0,3029.0
Dominica,2021,0.2,0.6
Dominica,2020,0.2,0.6
Dominica,2019,0.178,0.595
Dominica,2018,0.178,0.595
Dominica,2017,0.357,0.595
Dominica,2016,0.357,0.595
Dominica,2015,0.357,0.595
Dominica,2014,0.357,0.595
Dominica,2013,0.357,0.595
Dominica,2012,0.357,0.595
Dominica,2011,0.342,0.595
Dominica,2010,0.342,0.595
Dominica,2009,0.326,0.595
Dominica,2008,0.311,0.595
Dominican Republic,2020,433.912,1139.0
Dominican Republic,2019,255.543,551.661
Dominican Republic,2018,230.44,497.48
Dominican Republic,2017,140.07,390.4
Dominican Republic,2016,75.12,322.8
Dominican Republic,2015,32.4,290.0
Dominican Republic,2014,18.3,243.2
Dominican Republic,2013,9.4,243.0
Dominican Republic,2012,1.1,95.8
Dominican Republic,2011,0.0,13.99
Ecuador,2021,36.87,62.011
Ecuador,2020,37.76,77.1
Ecuador,2019,37.62,85.53
Ecuador,2018,38.08,80.26
Ecuador,2017,37.48,73.4
Ecuador,2016,38.75,83.95875
Ecuador,2015,36.06,98.8
Ecuador,2014,16.48,79.7
Ecuador,2013,3.66,56.7
Ecuador,2012,0.326,2.4
Ecuador,2011,0.058,3.34
Ecuador,2010,0.0,3.43
Ecuador,2009,0.008,3.2
Ecuador,2008,0.027,2.68
Ecuador,2007,0.018,0.96
Egypt,2020,4430.2,4233.0
Egypt,2019,1470.909,3688.667
Egypt,2018,537.0,2234.0
Egypt,2017,580.0,2200.0
Egypt,2016,168.0,2058.0
Egypt,2015,253.0,1345.0
Egypt,2014,247.0,1444.0
Egypt,2013,114.0,1332.0
Egypt,2012,237.0,1260.0
Egypt,2011,479.0,1525.0
Egypt,2010,206.0,1498.0
El Salvador,2021,1074.46,131.78
El Salvador,2020,904.1,14.12
Eritrea,2020,12.638,2.0
Eritrea,2019,11.358,2.0
Eritrea,2018,10.078,2.0
Eritrea,2017,5.81,2.0
Eritrea,2016,5.0,2.0
Eritrea,2015,5.0,2.0
Eritrea,2014,4.0,2.0
Eritrea,2013,4.0,2.0
Eritrea,2012,3.0,2.0
Eritrea,2011,3.0,2.0
Eritrea,2010,2.0,2.0
Eritrea,2009,2.0,2.0
Eritrea,2008,2.0,2.0
Estonia,2020,122.54,844.0
Estonia,2019,73.5,687.0
Estonia,2018,30.802,636.0
Estonia,2017,14.492,723.0
Estonia,2016,10.0,594.0
Ethiopia,2020,32.295,608.172
Ethiopia,2019,20.0,848.0
Ethiopia,2018,20.0,533.0
Ethiopia,2017,22.0,533.0
Ethiopia,2016,21.0,782.0
Ethiopia,2015,18.0,759.0
Ethiopia,2014,16.0,499.0
Ethiopia,2013,6.0,356.0
Ethiopia,2012,2.0,192.0
Ethiopia,2011,1.0,29.0
Faeroe Islands,2021,7.0,54.1
Faeroe Islands,2020,1.6,47.1
Falkland Is. (Malvinas),2021,0.1,4.252
Falkland Is. (Malvinas),2020,0.1,5.148
Falkland Is. (Malvinas),2019,0.1,5.32
Falkland Is. (Malvinas),2018,0.1,5.4122
Falkland Is. (Malvinas),2017,0.1,5.1682
Falkland Is. (Malvinas),2016,0.1,6.02246
Falkland Is. (Malvinas),2015,0.1,5.122107
Falkland Is. (Malvinas),2014,0.1,5.0872
Fiji,2021,12.6,1.136
Fiji,2020,12.6,1.136
Fiji,2019,12.57,3.419
Fiji,2018,12.49,2.558
Fiji,2017,9.409,2.083
Fiji,2016,7.025,3.632
Fiji,2015,4.385,5.674
Fiji,2014,2.496,4.3
Fiji,2013,1.802,5.348
Fiji,2012,1.212,6.809
Finland,2020,218.471,7938.0
Finland,2019,147.182,6025.0
Finland,2018,90.225,5839.0
Finland,2017,48.513,4795.0
Finland,2016,22.0,3068.0
Finland,2015,11.0,2327.0
Finland,2014,8.0,1107.0
Finland,2013,6.0,774.0
Finland,2012,6.0,494.0
Finland,2011,5.0,481.0
Finland,2010,5.0,294.0
Finland,2009,4.0,277.0
Finland,2008,4.0,261.0
Finland,2007,4.0,188.0
Finland,2006,3.0,156.0
Finland,2005,3.0,170.0
Finland,2004,2.0,120.0
Finland,2003,2.0,93.0
Finland,2002,2.0,64.0
Finland,2001,2.0,70.0
Finland,2000,2.0,78.0
Finland,1999,1.0,49.0
Finland,1998,1.0,23.0
Finland,1997,1.0,17.0
Finland,1996,1.0,11.0
Finland,1995,1.0,11.0
Finland,1994,1.0,7.0
Finland,1993,1.0,4.0
Finland,1992,1.0,2.0
France,2020,13398.392,39791.901
France,2019,12227.497,34787.353
France,2018,10891.13,28598.595
France,2017,9586.316,24609.437
France,2016,8659.0,21381.0
France,2015,7754.0,21420.0
France,2014,6392.0,17324.0
France,2013,5194.0,16127.0
France,2012,4427.0,15178.0
France,2011,2334.0,12372.0
France,2010,620.0,9945.0
France,2009,174.0,7912.0
France,2008,42.0,5694.0
France,2007,27.0,4070.0
France,2006,16.0,2182.0
France,2005,13.0,962.0
France,2004,9.0,595.0
France,2003,8.0,388.0
France,2002,7.0,265.0
France,2001,6.0,131.0
France,2000,5.0,48.0
France,1999,2.0,37.0
France,1998,2.0,19.0
France,1997,2.0,11.0
France,1996,1.0,7.0
France,1995,1.0,5.0
France,1994,1.0,5.0
French Polynesia,2021,41.6,0.2
French Polynesia,2020,41.6,0.18
French Polynesia,2019,39.51,0.12
French Polynesia,2018,37.38,0.08
French Polynesia,2017,35.55,0.078
French Polynesia,2016,32.86,0.078
French Polynesia,2015,31.88,0.078
French Polynesia,2014,27.0,0.077
French Polynesia,2013,18.0,0.092
French Polynesia,2012,14.0,0.093
French Polynesia,2011,10.0,0.113
French Polynesia,2010,5.0,0.266
French Polynesia,2009,3.404,0.437
French Polynesia,2008,3.13,0.492
Gambia,2021,3.572,0.1
Gambia,2020,3.572,0.1
Gambia,2019,3.5,0.1
Gambia,2018,3.5,0.1
Gambia,2017,3.5,0.1
Gambia,2016,3.5,0.1
Gambia,2015,3.5,0.1
Gambia,2014,3.4,0.1
Gambia,2013,3.2,0.1
Gambia,2012,3.2,0.1
Gambia,2011,3.0,0.6
Gambia,2010,2.8,0.3
Gambia,2009,2.6,0.1
Germany,2020,48641.0,132102.0
Germany,2019,44383.0,125894.0
Germany,2018,43459.0,109951.0
Germany,2017,39401.0,105693.0
Germany,2016,38098.0,79924.0
Germany,2015,38726.0,80624.0
Germany,2014,36056.0,58497.0
Germany,2013,31010.0,52737.0
Germany,2012,26380.0,51680.0
Germany,2011,19599.0,49858.0
Germany,2010,11729.0,38547.0
Germany,2009,6584.0,38647.0
Germany,2008,4420.0,40574.0
Germany,2007,3075.0,39713.0
Germany,2006,2220.0,30710.0
Germany,2005,1282.0,27229.0
Germany,2004,557.0,25509.0
Germany,2003,313.0,18713.0
Germany,2002,188.0,15856.0
Germany,2001,116.0,10456.0
Germany,2000,60.0,9352.0
Germany,1999,30.0,5528.0
Germany,1998,35.0,4593.0
Germany,1997,18.0,3034.0
Germany,1996,12.0,2078.0
Germany,1995,7.0,1712.0
Germany,1994,7.0,1428.0
Germany,1993,3.0,674.0
Germany,1992,4.0,291.0
Germany,1991,1.0,215.0
Greece,2020,4446.854,9310.104
Greece,2019,4428.51,7266.347
Greece,2018,3790.652,6300.259
Greece,2017,3991.477,5536.987
Greece,2016,3930.0,5146.0
Greece,2015,3900.0,4621.0
Greece,2014,3792.0,3689.0
Greece,2013,3648.0,4139.0
Greece,2012,1694.0,3850.0
Greece,2011,610.0,3315.0
Greece,2010,158.0,2714.0
Greece,2009,50.0,2543.0
Greece,2008,5.0,2242.0
Greece,2007,1.0,1818.0
Greece,2006,1.0,1699.0
Greece,2005,1.0,1266.0
Greece,2004,1.0,1121.0
Guadeloupe,2010,17.3,41.0
Guadeloupe,2009,5.0,51.1
Guadeloupe,2008,3.0,48.7
Guadeloupe,2007,2.0,44.0
Guadeloupe,2006,1.0,34.9
Guadeloupe,2005,0.3,24.6
Guam,2021,51.6,0.5
Guam,2020,51.6,0.5
Guam,2019,51.6,0.5
Guam,2018,51.6,0.5
Guam,2017,51.6,0.5
Guam,2016,51.6,0.5
Guatemala,2020,222.095,317.0
Guatemala,2019,198.74,220.8
Guatemala,2018,208.31,319.5
Guatemala,2017,198.2,218.06
Guatemala,2016,191.8,215.07
Guatemala,2015,149.26,107.29
Guyana,2021,11.0,0.35
Guyana,2020,11.77,0.35
Guyana,2019,10.86,0.35
Guyana,2018,11.12,0.35
Guyana,2017,6.95,0.35
Guyana,2016,4.81,0.35
Guyana,2015,4.71,0.35
Guyana,2014,1.57,0.13
Guyana,2013,1.49,0.12
Guyana,2012,1.39,0.07
Guyana,2011,1.39,0.07
Guyana,2010,0.26,0.07
Guyana,2009,0.13,0.07
Guyana,2008,0.11,0.07
Guyana,2007,0.04,0.03
Guyana,2006,0.04,0.03
Guyana,2005,0.03,0.03
Guyana,2004,0.02,0.03
Guyana,2003,0.02,0.03
Guyana,2002,0.02,0.03
Guyana,2001,0.02,0.03
Guyana,2000,0.02,0.03
Honduras,2021,1128.681,774.662
Honduras,2020,1112.812,707.399
Honduras,2019,1175.6,818.29
Honduras,2018,992.9,928.7
Honduras,2017,923.9,578.1
Honduras,2016,884.6,582.9
Honduras,2015,418.2,664.8
Hungary,2020,2459.0,655.0
Hungary,2019,1497.0,729.0
Hungary,2018,629.0,607.0
Hungary,2017,349.0,758.0
Hungary,2016,244.0,684.0
Hungary,2015,141.0,693.0
Hungary,2014,67.0,657.0
Hungary,2013,25.0,718.0
Hungary,2012,8.0,770.0
Hungary,2011,1.0,626.0
Hungary,2010,1.0,534.0
Hungary,2009,1.0,331.0
Hungary,2008,1.0,205.0
India,2020,61291.0,67418.0
India,2019,50563.0,69949.0
India,2018,39728.0,64294.0
India,2017,24613.0,38486.0
India,2016,12578.0,35530.0
India,2015,7039.0,30045.0
India,2014,5020.0,27057.0
India,2013,3433.0,33583.0
Indonesia,2017,29.0,6.0
Indonesia,2016,21.0,6.0
Indonesia,2013,5.5,1.4
Indonesia,2012,2.9,5.0
Indonesia,2011,1.0,5.0
Indonesia,2010,0.5,4.02
Iran (Islamic Rep. of),2020,509.656,566.103
Iran (Islamic Rep. of),2019,410.172,560.296
Iran (Islamic Rep. of),2018,339.612,518.18
Iran (Islamic Rep. of),2017,85.0,306.0
Iran (Islamic Rep. of),2016,4.0,250.0
Iran (Islamic Rep. of),2015,0.86,221.0
Iran (Islamic Rep. of),2014,0.08,186.0
Iran (Islamic Rep. of),2013,0.07,376.0
Iran (Islamic Rep. of),2012,0.06,207.0
Iran (Islamic Rep. of),2011,0.05,217.0
Iran (Islamic Rep. of),2010,0.09,163.0
Iran (Islamic Rep. of),2009,0.07,225.0
Iran (Islamic Rep. of),2008,0.08,196.0
Iran (Islamic Rep. of),2007,0.07,143.0
Iran (Islamic Rep. of),2006,0.08,125.0
Iran (Islamic Rep. of),2005,0.05,71.0
Ireland,2020,63.78,11549.42
Ireland,2019,40.08,10019.485
Ireland,2018,21.701,8639.767
Ireland,2017,11.556,7444.037
Ireland,2016,6.0,6147.0
Ireland,2015,4.0,6573.0
Ireland,2014,2.0,5140.0
Ireland,2013,1.0,4542.0
Ireland,2012,1.0,4010.0
Ireland,2011,1.0,4380.0
Israel,2020,4162.997,203.594
Israel,2019,3114.501,190.395
Israel,2018,1573.8,183.19
Israel,2017,1510.6,179.964
Israel,2016,1544.0,0.0
Israel,2015,1115.0,7.0
Israel,2014,840.0,6.0
Israel,2013,494.0,6.0
Israel,2012,369.0,6.0
Israel,2011,192.0,7.0
Israel,2010,70.0,8.0
Israel,2009,24.0,9.0
Italy,2020,24941.504,18761.557
Italy,2019,23688.9,20202.041
Italy,2018,22653.838,17716.434
Italy,2017,24377.711,17741.909
Italy,2016,22104.0,17689.0
Italy,2015,22942.0,14844.0
Italy,2014,22306.0,15178.0
Italy,2013,21589.0,14897.0
Italy,2012,18862.0,13407.0
Italy,2011,10796.0,9856.0
Italy,2010,1906.0,9126.0
Italy,2009,676.0,6543.0
Italy,2008,193.0,4861.0
Italy,2007,38.0,4034.0
Italy,2006,35.0,2971.0
Italy,2005,31.0,2344.0
Italy,2004,29.0,1847.0
Italy,2003,24.0,1458.0
Italy,2002,21.0,1404.0
Italy,2001,19.0,1179.0
Italy,2000,18.0,563.0
Italy,1999,17.0,403.0
Italy,1998,16.0,231.0
Italy,1997,15.0,118.0
Italy,1996,14.0,33.0
Italy,1995,13.0,9.0
Italy,1994,11.0,7.0
Italy,1993,11.0,4.0
Italy,1992,9.0,2.0
Italy,1991,5.0,3.0
Italy,1990,4.0,2.0
Jamaica,2021,129.7,257.805555555556
Jamaica,2020,36.4,275.222222222222
Jamaica,2019,47.444444,273.638889
Jamaica,2018,46.0,302.0
Jamaica,2017,44.0,289.0
Jamaica,2016,15.0,207.0
Japan,2020,79086.858,8969.849
Japan,2019,69381.534,7617.402
Japan,2018,62667.671,7481.228
Japan,2017,55068.529,6489.562
Japan,2016,45761.0,6166.0
Japan,2015,34802.0,5580.0
Japan,2014,22952.0,5217.0
Japan,2013,12880.0,5187.0
Japan,2012,6613.0,4838.0
Japan,2011,4839.0,4677.0
Japan,2010,3543.0,4017.0
Japan,2009,2657.0,3613.0
Japan,2008,2206.0,2942.0
Japan,2007,1972.0,2614.0
Japan,2006,1721.0,2167.0
Japan,2005,1420.0,1751.0
Japan,2004,1118.0,1310.0
Japan,2003,858.0,833.0
Japan,2002,644.0,415.0
Japan,2001,547.0,252.0
Japan,2000,357.0,109.0
Japan,1999,254.0,38.0
Japan,1998,189.0,7.0
Japan,1997,149.0,1.0
Japan,1996,122.0,2.0
Japan,1995,106.0,3.0
Japan,1994,96.0,2.0
Japan,1993,89.0,2.0
Japan,1992,81.0,1.0
Japan,1991,74.0,0.0
Japan,1990,67.0,0.0
Jordan,2020,2852.0,1406.9
Jordan,2019,2086.2,874.9
Jordan,2018,1414.9,707.0
Jordan,2017,919.5,449.1
Jordan,2016,426.9,391.0
Jordan,2015,1.6,123.1
Kazakhstan,2021,1636.5,1758.0
Kazakhstan,2020,1490.368,1028.661
Kazakhstan,2019,830.84,707.135
Kazakhstan,2018,384.49,460.583
Kazakhstan,2017,159.585,339.84
Kazakhstan,2016,136.375,274.983
Kazakhstan,2015,118.355,131.722
Kazakhstan,2014,97.476,13.301
Kazakhstan,2013,23.0,5.0
Kazakhstan,2012,8.0,3.0
Kenya,2020,88.4,1331.4
Kenya,2019,92.3,1562.7
Kenya,2018,13.68,375.6
"Korea, Republic of",2020,17967.196,3151.442
"Korea, Republic of",2019,12996.018,2680.924
"Korea, Republic of",2018,9208.099,2464.879
"Korea, Republic of",2017,7056.219,2169.014
"Korea, Republic of",2016,5123.0,1683.0
"Korea, Republic of",2015,3975.0,1342.0
"Korea, Republic of",2014,2557.0,1146.0
"Korea, Republic of",2013,1605.0,1149.0
"Korea, Republic of",2012,1103.0,917.0
"Korea, Republic of",2011,917.0,863.0
"Korea, Republic of",2010,772.0,817.0
"Korea, Republic of",2009,566.0,685.0
"Korea, Republic of",2008,285.0,436.0
"Korea, Republic of",2007,70.0,376.0
"Korea, Republic of",2006,31.0,239.0
"Korea, Republic of",2005,15.0,130.0
"Korea, Republic of",2004,10.0,47.0
"Korea, Republic of",2003,8.0,25.0
"Korea, Republic of",2002,7.0,15.0
"Korea, Republic of",2001,6.0,13.0
"Korea, Republic of",2000,5.0,17.0
"Korea, Republic of",1999,5.0,6.0
